langage,nombre_de_mots,longueur_moyenne,longueur_maximale,longueur_minimale,diversite_binaire_0,diversite_binaire_1,entropie_binaire,distribution_des_longueurs 1,distribution_des_longueurs 2,distribution_des_longueurs 3,distribution_des_longueurs 4,distribution_des_longueurs 5,distribution_des_longueurs 6,distribution_des_longueurs 7,code
000100 101 0000 01,4,3.75,6,2,0.7333333333333333,0.26666666666666666,0.8366407419411672,0,1,1,1,0,1,0,True
11100 1 00 011,4,2.75,5,1,0.45454545454545453,0.5454545454545454,0.9940302114769565,1,1,1,0,1,0,0,False
1111111 11111,2,6.0,7,5,0.0,1.0,-0.0,0,0,0,0,1,0,1,False
1110,1,4.0,4,4,0.25,0.75,0.8112781244591328,0,0,0,1,0,0,0,True
101 11001 11101 0001 00 111001,6,4.166666666666667,6,2,0.44,0.56,0.9895875212220556,0,1,1,1,2,1,0,True
11 0 0101,3,2.3333333333333335,4,1,0.42857142857142855,0.5714285714285714,0.9852281360342515,1,1,0,1,0,0,0,True
100100 01010 111110 0101 0111,5,5.0,6,4,0.44,0.56,0.9895875212220556,0,0,0,2,1,2,0,True
1110 0 1100 00 1,5,2.4,4,1,0.5,0.5,1.0,2,1,0,2,0,0,0,False
101,1,3.0,3,3,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,1,0,0,0,0,True
1101101 1111 0110 11 0011 011,6,4.0,7,2,0.2916666666666667,0.7083333333333334,0.8708644692353644,0,1,1,3,0,0,1,False
00110 0111,2,4.5,5,4,0.4444444444444444,0.5555555555555556,0.9910760598382222,0,0,0,1,1,0,0,True
100000 0 0001001 011 100 000,6,3.8333333333333335,7,1,0.7391304347826086,0.2608695652173913,0.828055725379504,1,0,3,0,0,1,1,False
1110100 10 0001 11 001110 01,6,3.8333333333333335,7,2,0.4782608695652174,0.5217391304347826,0.9986359641585718,0,3,0,1,0,1,1,False
0010,1,4.0,4,4,0.75,0.25,0.8112781244591328,0,0,0,1,0,0,0,True
0100 01,2,3.0,4,2,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,1,0,1,0,0,0,True
11 000001 01,3,3.3333333333333335,6,2,0.6,0.4,0.9709505944546686,0,2,0,0,0,1,0,True
1111110 100,2,5.0,7,3,0.3,0.7,0.8812908992306927,0,0,1,0,0,0,1,True
1,1,1.0,1,1,0.0,1.0,-0.0,1,0,0,0,0,0,0,True
1011110 0110 1101 1 101000,5,4.4,7,1,0.4090909090909091,0.5909090909090909,0.9760206482366149,1,0,0,2,0,1,1,False
111000 0 1010110 011011,4,5.0,7,1,0.45,0.55,0.9927744539878083,1,0,0,0,0,2,1,True
0000 10 0 11 01,5,2.2,4,1,0.6363636363636364,0.36363636363636365,0.9456603046006401,1,3,0,1,0,0,0,False
100110 1000 0,3,3.6666666666666665,6,1,0.6363636363636364,0.36363636363636365,0.9456603046006401,1,0,0,1,0,1,0,True
110 10 0001101 011 100 1,6,3.1666666666666665,7,1,0.47368421052631576,0.5263157894736842,0.9980008838722996,1,1,3,0,0,0,1,False
00 110 01100 0111,4,3.5,5,2,0.5,0.5,1.0,0,1,1,1,1,0,0,True
11101 0110,2,4.5,5,4,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,0,1,1,0,0,True
1010100 1,2,4.0,7,1,0.5,0.5,1.0,1,0,0,0,0,0,1,True
00 110 000 0111,4,3.0,4,2,0.5833333333333334,0.4166666666666667,0.9798687566511528,0,1,2,1,0,0,0,False
1001000 011 0101,3,4.666666666666667,7,3,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,0,1,1,0,0,1,True
0101 00 0100 1 01,5,2.6,4,1,0.6153846153846154,0.38461538461538464,0.9612366047228759,1,2,0,2,0,0,0,False
0 110110,2,3.5,6,1,0.42857142857142855,0.5714285714285714,0.9852281360342515,1,0,0,0,0,1,0,True
10 11001 100111,3,4.333333333333333,6,2,0.38461538461538464,0.6153846153846154,0.9612366047228759,0,1,0,0,1,1,0,True
110 01010 011010 000111 00 0100,6,4.333333333333333,6,2,0.5769230769230769,0.4230769230769231,0.9828586897127056,0,1,1,1,1,2,0,True
1100,1,4.0,4,4,0.5,0.5,1.0,0,0,0,1,0,0,0,True
001011,1,6.0,6,6,0.5,0.5,1.0,0,0,0,0,0,1,0,True
00 0 1001,3,2.3333333333333335,4,1,0.7142857142857143,0.2857142857142857,0.863120568566631,1,1,0,1,0,0,0,False
100011 1 01,3,3.0,6,1,0.4444444444444444,0.5555555555555556,0.9910760598382222,1,1,0,0,0,1,0,True
01111 01011 010,3,4.333333333333333,5,3,0.38461538461538464,0.6153846153846154,0.9612366047228759,0,0,1,0,2,0,0,True
011100 000111 00 1001 01,5,4.0,6,2,0.55,0.45,0.9927744539878083,0,2,0,1,0,2,0,False
111000 00111 0,3,4.0,6,1,0.5,0.5,1.0,1,0,0,0,1,1,0,False
001000 0001 101001 1111101 0010 1101011 01,7,5.142857142857143,7,2,0.5,0.5,1.0,0,1,0,2,0,2,2,False
1100 1 00001 11000,4,3.75,5,1,0.6,0.4,0.9709505944546686,1,0,0,1,2,0,0,True
1,1,1.0,1,1,0.0,1.0,-0.0,1,0,0,0,0,0,0,True
01111 0,2,3.0,5,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,1,0,0,0,1,0,0,True
011110 101 110 11111,4,4.25,6,3,0.23529411764705882,0.7647058823529411,0.7871265862012691,0,0,2,0,1,1,0,True
1100100 1011100 0000,3,6.0,7,4,0.6111111111111112,0.3888888888888889,0.964078764808229,0,0,0,1,0,0,2,True
11 10101 1 111001,4,3.5,6,1,0.2857142857142857,0.7142857142857143,0.863120568566631,1,1,0,0,1,1,0,False
001 11001 011001 1001111 0100101 010,6,5.166666666666667,7,3,0.4838709677419355,0.5161290322580645,0.9992492479956565,0,0,2,0,1,1,2,True
0111 11 0101010 1 011 100011,6,3.8333333333333335,7,1,0.391304347826087,0.6086956521739131,0.9656361333706098,1,1,1,1,0,1,1,False
10 000111 0 00111,4,3.5,6,1,0.5,0.5,1.0,1,1,0,0,1,1,0,False
10 11010 0110111 11 01,5,3.6,7,2,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,3,0,0,1,0,1,False
0,1,1.0,1,1,1.0,0.0,-0.0,1,0,0,0,0,0,0,True
1100100 101 1101100 11 00 0100111 00101,7,4.714285714285714,7,2,0.48484848484848486,0.5151515151515151,0.9993375041688847,0,2,1,0,1,0,3,False
1101,1,4.0,4,4,0.25,0.75,0.8112781244591328,0,0,0,1,0,0,0,True
10 0 100,3,2.0,3,1,0.6666666666666666,0.3333333333333333,0.9182958340544896,1,1,1,0,0,0,0,False
111011 1 1110,3,3.6666666666666665,6,1,0.18181818181818182,0.8181818181818182,0.6840384356390417,1,0,0,1,0,1,0,False
100000 11111 1010 11 011001 1110011 011,7,4.714285714285714,7,2,0.3939393939393939,0.6060606060606061,0.9672947789468944,0,1,1,1,1,2,1,False
1111,1,4.0,4,4,0.0,1.0,-0.0,0,0,0,1,0,0,0,True
11,1,2.0,2,2,0.0,1.0,-0.0,0,1,0,0,0,0,0,True
101,1,3.0,3,3,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,1,0,0,0,0,True
1001101,1,7.0,7,7,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,0,0,0,0,0,1,True
1,1,1.0,1,1,0.0,1.0,-0.0,1,0,0,0,0,0,0,True
01,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
0001011,1,7.0,7,7,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,0,0,0,0,0,1,True
011,1,3.0,3,3,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,1,0,0,0,0,True
010001 101011 111 0010 1000 0100110,6,5.0,7,3,0.5333333333333333,0.4666666666666667,0.9967916319816366,0,0,1,2,0,2,1,True
10001,1,5.0,5,5,0.6,0.4,0.9709505944546686,0,0,0,0,1,0,0,True
10 01011 0 11010 0100 11110,6,3.6666666666666665,5,1,0.45454545454545453,0.5454545454545454,0.9940302114769565,1,1,0,1,3,0,0,False
00100 00010 1011 010100 00 10101 1011111,7,4.857142857142857,7,2,0.5294117647058824,0.47058823529411764,0.9975025463691153,0,1,0,1,3,1,1,True
01011 10 111100 1011100 0011001 010,6,5.0,7,2,0.4666666666666667,0.5333333333333333,0.9967916319816366,0,1,1,0,1,1,2,True
1100010 00010 1010,3,5.333333333333333,7,4,0.625,0.375,0.954434002924965,0,0,0,1,1,0,1,True
1110001,1,7.0,7,7,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,0,0,0,0,0,1,True
10 001 111,3,2.6666666666666665,3,2,0.375,0.625,0.954434002924965,0,1,2,0,0,0,0,True
0 111 0110 1101 10100,5,3.4,5,1,0.4117647058823529,0.5882352941176471,0.9774178175281716,1,0,1,2,1,0,0,False
001 000010 111100 10011 100,5,4.6,6,3,0.5652173913043478,0.43478260869565216,0.9876925088958034,0,0,2,0,1,2,0,True
101 0111101 1001 010 01,5,3.8,7,2,0.42105263157894735,0.5789473684210527,0.9819407868640977,0,1,2,1,0,0,1,False
0 1110,2,2.5,4,1,0.4,0.6,0.9709505944546686,1,0,0,1,0,0,0,True
111101 0 11011,3,4.0,6,1,0.25,0.75,0.8112781244591328,1,0,0,0,1,1,0,True
10001 000 0110111 001001,4,5.25,7,3,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,0,1,0,1,1,1,True
00100 100010 0 0001111 1 0110011,6,4.5,7,1,0.5555555555555556,0.4444444444444444,0.9910760598382222,2,0,0,0,1,1,2,False
01,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
100100 10010 1100101 1110,4,5.5,7,4,0.5,0.5,1.0,0,0,0,1,1,1,1,True
111010 10 010,3,3.6666666666666665,6,2,0.45454545454545453,0.5454545454545454,0.9940302114769565,0,1,1,0,0,1,0,True
10 1111001 010011 1,4,4.0,7,1,0.375,0.625,0.954434002924965,1,1,0,0,0,1,1,True
111 01,2,2.5,3,2,0.2,0.8,0.7219280948873623,0,1,1,0,0,0,0,True
0110010 0 1 0011100,4,4.0,7,1,0.5625,0.4375,0.9886994082884974,2,0,0,0,0,0,2,False
101 100,2,3.0,3,3,0.5,0.5,1.0,0,0,2,0,0,0,0,True
0001101,1,7.0,7,7,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,0,0,0,0,0,1,True
0011 01,2,3.0,4,2,0.5,0.5,1.0,0,1,0,1,0,0,0,True
10 0 1011 1110,4,2.75,4,1,0.36363636363636365,0.6363636363636364,0.9456603046006401,1,1,0,2,0,0,0,False
11 1111 0010000 1011110,4,5.0,7,2,0.4,0.6,0.9709505944546686,0,1,0,1,0,0,2,False
001000 110,2,4.5,6,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,0,0,1,0,True
11001 11010 01100,3,5.0,5,5,0.4666666666666667,0.5333333333333333,0.9967916319816366,0,0,0,0,3,0,0,True
10 0100110 101000 1,4,4.0,7,1,0.5625,0.4375,0.9886994082884974,1,1,0,0,0,1,1,True
10 1011111 1011 000000,4,4.75,7,2,0.47368421052631576,0.5263157894736842,0.9980008838722996,0,1,0,1,0,1,1,True
101 1111 00 1101 00101,5,3.6,5,2,0.3888888888888889,0.6111111111111112,0.964078764808229,0,1,1,2,1,0,0,False
1,1,1.0,1,1,0.0,1.0,-0.0,1,0,0,0,0,0,0,True
000 0111,2,3.5,4,3,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,0,1,1,0,0,0,True
101100 1 100,3,3.3333333333333335,6,1,0.5,0.5,1.0,1,0,1,0,0,1,0,True
0001 000010 1,3,3.6666666666666665,6,1,0.7272727272727273,0.2727272727272727,0.8453509366224364,1,0,0,1,0,1,0,True
010110 000 00101,3,4.666666666666667,6,3,0.6428571428571429,0.35714285714285715,0.9402859586706311,0,0,1,0,1,1,0,True
100 1 01001 0111001,4,4.0,7,1,0.5,0.5,1.0,1,0,1,0,1,0,1,True
011011 0 11010 111001 000 01,6,3.8333333333333335,6,1,0.4782608695652174,0.5217391304347826,0.9986359641585718,1,1,1,0,1,2,0,False
00100 0 0110 011 110100,5,3.8,6,1,0.5789473684210527,0.42105263157894735,0.9819407868640977,1,0,1,1,1,1,0,False
110 0100,2,3.5,4,3,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,0,1,1,0,0,0,True
001011,1,6.0,6,6,0.5,0.5,1.0,0,0,0,0,0,1,0,True
0 1001 1,3,2.0,4,1,0.5,0.5,1.0,2,0,0,1,0,0,0,False
100001 001 11000 1111 00 0100 000,7,3.857142857142857,6,2,0.6296296296296297,0.37037037037037035,0.9509560484549725,0,1,2,2,1,1,0,False
110111 000100,2,6.0,6,6,0.5,0.5,1.0,0,0,0,0,0,2,0,True
10001,1,5.0,5,5,0.6,0.4,0.9709505944546686,0,0,0,0,1,0,0,True
0100 10011 10110,3,4.666666666666667,5,4,0.5,0.5,1.0,0,0,0,1,2,0,0,True
010110 1000 1000111,3,5.666666666666667,7,4,0.5294117647058824,0.47058823529411764,0.9975025463691153,0,0,0,1,0,1,1,True
110 0 1001010 0111 00 000,6,3.3333333333333335,7,1,0.6,0.4,0.9709505944546686,1,1,2,1,0,0,1,False
00111 0 10101,3,3.6666666666666665,5,1,0.45454545454545453,0.5454545454545454,0.9940302114769565,1,0,0,0,2,0,0,True
0 000,2,2.0,3,1,1.0,0.0,-0.0,1,0,1,0,0,0,0,False
0 110 100,3,2.3333333333333335,3,1,0.5714285714285714,0.42857142857142855,0.9852281360342515,1,0,2,0,0,0,0,True
011010,1,6.0,6,6,0.5,0.5,1.0,0,0,0,0,0,1,0,True
0 110111,2,3.5,6,1,0.2857142857142857,0.7142857142857143,0.863120568566631,1,0,0,0,0,1,0,True
11001 1010000 0011111 0110,4,5.75,7,4,0.4782608695652174,0.5217391304347826,0.9986359641585718,0,0,0,1,1,0,2,True
110101 1100,2,5.0,6,4,0.4,0.6,0.9709505944546686,0,0,0,1,0,1,0,True
001 110 0011,3,3.3333333333333335,4,3,0.5,0.5,1.0,0,0,2,1,0,0,0,True
111,1,3.0,3,3,0.0,1.0,-0.0,0,0,1,0,0,0,0,True
010,1,3.0,3,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,0,0,0,0,True
110101 00 0010 0011110 00101,5,4.8,7,2,0.5416666666666666,0.4583333333333333,0.9949848281859701,0,1,0,1,1,1,1,True
10 0010110 001101 1,4,4.0,7,1,0.5,0.5,1.0,1,1,0,0,0,1,1,True
00100 00 1010010 01,4,4.0,7,2,0.6875,0.3125,0.8960382325345574,0,2,0,0,1,0,1,True
11 1100001,2,4.5,7,2,0.4444444444444444,0.5555555555555556,0.9910760598382222,0,1,0,0,0,0,1,True
0101,1,4.0,4,4,0.5,0.5,1.0,0,0,0,1,0,0,0,True
1011001 111111 101110,3,6.333333333333333,7,6,0.2631578947368421,0.7368421052631579,0.8314743880097293,0,0,0,0,0,2,1,True
00100 001110 001,3,4.666666666666667,6,3,0.6428571428571429,0.35714285714285715,0.9402859586706311,0,0,1,0,1,1,0,True
100100 101 1110 1111 0111 01,6,3.8333333333333335,6,2,0.34782608695652173,0.6521739130434783,0.9321115676166747,0,1,1,3,0,1,0,False
0000 0 1101 0100 1 01,6,2.6666666666666665,4,1,0.625,0.375,0.954434002924965,2,1,0,3,0,0,0,False
00 0 1,3,1.3333333333333333,2,1,0.75,0.25,0.8112781244591328,2,1,0,0,0,0,0,False
110 1101110 10 0 1,5,2.8,7,1,0.35714285714285715,0.6428571428571429,0.9402859586706311,2,1,1,0,0,0,1,False
01000 100001 0001101 100,4,5.25,7,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,0,1,1,1,True
0011010,1,7.0,7,7,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,0,0,0,0,0,1,True
101 0 111 00 0010011 01,6,3.0,7,1,0.5,0.5,1.0,1,2,2,0,0,0,1,False
1100101 001 0110111 0100110 110111 010,6,5.5,7,3,0.42424242424242425,0.5757575757575758,0.9833761901392235,0,0,2,0,0,1,3,True
110110,1,6.0,6,6,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,0,0,0,1,0,True
0111,1,4.0,4,4,0.25,0.75,0.8112781244591328,0,0,0,1,0,0,0,True
101111 100001 11000,3,5.666666666666667,6,5,0.47058823529411764,0.5294117647058824,0.9975025463691153,0,0,0,0,1,2,0,True
10100 1011 1100 1,4,3.5,5,1,0.42857142857142855,0.5714285714285714,0.9852281360342515,1,0,0,2,1,0,0,True
00110 0010 000101 111100,4,5.25,6,4,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,0,0,1,1,2,0,True
001,1,3.0,3,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,0,0,0,0,True
100001 1100,2,5.0,6,4,0.6,0.4,0.9709505944546686,0,0,0,1,0,1,0,True
0 1 0000,3,2.0,4,1,0.8333333333333334,0.16666666666666666,0.6500224216483541,2,0,0,1,0,0,0,False
10100 0000 01011 011 10001,5,4.4,5,3,0.5909090909090909,0.4090909090909091,0.9760206482366149,0,0,1,1,3,0,0,True
01000 1101011,2,6.0,7,5,0.5,0.5,1.0,0,0,0,0,1,0,1,True
110010,1,6.0,6,6,0.5,0.5,1.0,0,0,0,0,0,1,0,True
11001,1,5.0,5,5,0.4,0.6,0.9709505944546686,0,0,0,0,1,0,0,True
11 000011 0110,3,4.0,6,2,0.5,0.5,1.0,0,1,0,1,0,1,0,True
10 1110111 11111 1,4,3.75,7,1,0.13333333333333333,0.8666666666666667,0.5665095065529053,1,1,0,0,1,0,1,False
11101 010,2,4.0,5,3,0.375,0.625,0.954434002924965,0,0,1,0,1,0,0,True
0110010,1,7.0,7,7,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,0,0,0,0,0,1,True
11 1 0111 01,4,2.25,4,1,0.2222222222222222,0.7777777777777778,0.7642045065086203,1,2,0,1,0,0,0,False
1111 100011 011 0000,4,4.25,6,3,0.47058823529411764,0.5294117647058824,0.9975025463691153,0,0,1,2,0,1,0,True
01,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
11100 00000 10 0100111 1,5,4.0,7,1,0.55,0.45,0.9927744539878083,1,1,0,0,2,0,1,True
10 0001 0,3,2.3333333333333335,4,1,0.7142857142857143,0.2857142857142857,0.863120568566631,1,1,0,1,0,0,0,False
11001 0000111 10,3,4.666666666666667,7,2,0.5,0.5,1.0,0,1,0,0,1,0,1,True
110 10 00010 0 1111010 1 10001,7,3.4285714285714284,7,1,0.5,0.5,1.0,2,1,1,0,2,0,1,False
110000,1,6.0,6,6,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,0,0,0,1,0,True
0000 010100 0101 1 000,5,3.6,6,1,0.7222222222222222,0.2777777777777778,0.8524051786494786,1,0,1,2,0,1,0,False
0 1110100 0000011 1,4,4.0,7,1,0.5625,0.4375,0.9886994082884974,2,0,0,0,0,0,2,False
00001,1,5.0,5,5,0.8,0.2,0.7219280948873623,0,0,0,0,1,0,0,True
101011,1,6.0,6,6,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,0,0,0,1,0,True
0000 11001 0 11 010,5,3.0,5,1,0.6,0.4,0.9709505944546686,1,1,1,1,1,0,0,False
1101101 0110 1 1111001 1001 0011101,6,5.0,7,1,0.36666666666666664,0.6333333333333333,0.9480782435939055,1,0,0,2,0,0,3,False
01,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
010110 0 10101,3,4.0,6,1,0.5,0.5,1.0,1,0,0,0,1,1,0,True
10 0 1011110 101100,4,4.0,7,1,0.4375,0.5625,0.9886994082884974,1,1,0,0,0,1,1,True
001 1110 011 110100 01,5,3.6,6,2,0.4444444444444444,0.5555555555555556,0.9910760598382222,0,1,2,1,0,1,0,True
010,1,3.0,3,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,0,0,0,0,True
01001 100 010 000100,4,4.25,6,3,0.7058823529411765,0.29411764705882354,0.8739810481273578,0,0,2,0,1,1,0,True
101111 11111 00111 1011 01,5,4.4,6,2,0.22727272727272727,0.7727272727272727,0.7732266742876346,0,1,0,1,2,1,0,True
011111,1,6.0,6,6,0.16666666666666666,0.8333333333333334,0.6500224216483541,0,0,0,0,0,1,0,True
0000000,1,7.0,7,7,1.0,0.0,-0.0,0,0,0,0,0,0,1,True
000,1,3.0,3,3,1.0,0.0,-0.0,0,0,1,0,0,0,0,True
101101 101 11011 0 1011110 01,6,4.0,7,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,1,1,1,0,1,1,1,False
11100 000101 00 1001111 1 10001,6,4.333333333333333,7,1,0.5,0.5,1.0,1,1,0,0,2,1,1,False
00100 00010,2,5.0,5,5,0.8,0.2,0.7219280948873623,0,0,0,0,2,0,0,True
0,1,1.0,1,1,1.0,0.0,-0.0,1,0,0,0,0,0,0,True
011011 1 01,3,3.0,6,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,1,1,0,0,0,1,0,False
00110 0100 10100 001011 01,5,4.4,6,2,0.5909090909090909,0.4090909090909091,0.9760206482366149,0,1,0,1,2,1,0,True
000 1000,2,3.5,4,3,0.8571428571428571,0.14285714285714285,0.5916727785823275,0,0,1,1,0,0,0,True
00100 0 001 1,4,2.5,5,1,0.7,0.3,0.8812908992306927,2,0,1,0,1,0,0,False
0000,1,4.0,4,4,1.0,0.0,-0.0,0,0,0,1,0,0,0,True
00111 110 0111110,3,5.0,7,3,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,1,0,1,0,1,True
00,1,2.0,2,2,1.0,0.0,-0.0,0,1,0,0,0,0,0,True
000111,1,6.0,6,6,0.5,0.5,1.0,0,0,0,0,0,1,0,True
0111,1,4.0,4,4,0.25,0.75,0.8112781244591328,0,0,0,1,0,0,0,True
0 0010000,2,4.0,7,1,0.875,0.125,0.5435644431995964,1,0,0,0,0,0,1,True
010 01,2,2.5,3,2,0.6,0.4,0.9709505944546686,0,1,1,0,0,0,0,True
0111011,1,7.0,7,7,0.2857142857142857,0.7142857142857143,0.863120568566631,0,0,0,0,0,0,1,True
11101 0000000 11 1 00101,5,4.0,7,1,0.55,0.45,0.9927744539878083,1,1,0,0,2,0,1,False
0 0011,2,2.5,4,1,0.6,0.4,0.9709505944546686,1,0,0,1,0,0,0,True
000,1,3.0,3,3,1.0,0.0,-0.0,0,0,1,0,0,0,0,True
1101100 010111 1010011 10,4,5.5,7,2,0.4090909090909091,0.5909090909090909,0.9760206482366149,0,1,0,0,0,1,2,True
01111 001 0001 0111 00,5,3.6,5,2,0.5,0.5,1.0,0,1,1,2,1,0,0,True
11 00 01001 100,4,3.0,5,2,0.5833333333333334,0.4166666666666667,0.9798687566511528,0,2,1,0,1,0,0,True
1010,1,4.0,4,4,0.5,0.5,1.0,0,0,0,1,0,0,0,True
00100 01010 00110 0101 0111 11 011,7,4.0,5,2,0.5,0.5,1.0,0,1,1,2,3,0,0,False
