langage,nombre_de_mots,longueur_moyenne,longueur_maximale,longueur_minimale,diversite_binaire_0,diversite_binaire_1,entropie_binaire,distribution_des_longueurs 1,distribution_des_longueurs 2,distribution_des_longueurs 3,distribution_des_longueurs 4,distribution_des_longueurs 5,distribution_des_longueurs 6,distribution_des_longueurs 7,code
0011111,1,7.0,7,7,0.2857142857142857,0.7142857142857143,0.863120568566631,0,0,0,0,0,0,1,True
0001101 1 11,3,3.3333333333333335,7,1,0.4,0.6,0.9709505944546686,1,1,0,0,0,0,1,False
1000011 1000 10000 1001 0111100 0010,6,5.166666666666667,7,4,0.6129032258064516,0.3870967741935484,0.9629004147713269,0,0,0,3,1,0,2,True
1 100011 1110 1010 0,5,3.2,6,1,0.4375,0.5625,0.9886994082884974,2,0,0,2,0,1,0,False
1110100 01000,2,6.0,7,5,0.5833333333333334,0.4166666666666667,0.9798687566511528,0,0,0,0,1,0,1,True
000,1,3.0,3,3,1.0,0.0,-0.0,0,0,1,0,0,0,0,True
100111 1110010 0000101 0100 0101110 00,6,5.5,7,2,0.5454545454545454,0.45454545454545453,0.9940302114769565,0,1,0,1,0,1,3,True
0101 1000 0,3,3.0,4,1,0.6666666666666666,0.3333333333333333,0.9182958340544896,1,0,0,2,0,0,0,True
00001 0100 01011 1111001,4,5.25,7,4,0.5238095238095238,0.47619047619047616,0.998363672593813,0,0,0,1,2,0,1,True
111110 0110 01010 0,4,4.0,6,1,0.4375,0.5625,0.9886994082884974,1,0,0,1,1,1,0,True
10 10110 0111001,3,4.666666666666667,7,2,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,1,0,0,1,0,1,True
011010 0011100 110000 0000,4,5.75,7,4,0.6521739130434783,0.34782608695652173,0.9321115676166747,0,0,0,1,0,2,1,True
11101 0000000 011 0,4,4.0,7,1,0.625,0.375,0.954434002924965,1,0,1,0,1,0,1,False
000110,1,6.0,6,6,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,0,0,0,1,0,True
1111 11 011 0010101 0011,5,4.0,7,2,0.35,0.65,0.934068055375491,0,1,1,2,0,0,1,False
0111 01 100100 100,4,3.75,6,2,0.5333333333333333,0.4666666666666667,0.9967916319816366,0,1,1,1,0,1,0,False
1000 1 1001100 0000,4,4.0,7,1,0.6875,0.3125,0.8960382325345574,1,0,0,2,0,0,1,True
001111 11 00000 0,4,3.5,6,1,0.5714285714285714,0.42857142857142855,0.9852281360342515,1,1,0,0,1,1,0,False
0 01001 000111 010 00,5,3.4,6,1,0.6470588235294118,0.35294117647058826,0.9366673818775626,1,1,1,0,1,1,0,False
01,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
111010 1011111 011001 00,4,5.25,7,2,0.38095238095238093,0.6190476190476191,0.9587118829771318,0,1,0,0,0,2,1,True
10,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
10 101 1100010 000 010101,5,4.2,7,2,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,1,2,0,0,1,1,False
1 101,2,2.0,3,1,0.25,0.75,0.8112781244591328,1,0,1,0,0,0,0,True
11010 1,2,3.0,5,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,1,0,0,0,1,0,0,True
11,1,2.0,2,2,0.0,1.0,-0.0,0,1,0,0,0,0,0,True
11 100100 101 000 101011,5,4.0,6,2,0.5,0.5,1.0,0,1,2,0,0,2,0,True
0001 101001,2,5.0,6,4,0.6,0.4,0.9709505944546686,0,0,0,1,0,1,0,True
00110 010100,2,5.5,6,5,0.6363636363636364,0.36363636363636365,0.9456603046006401,0,0,0,0,1,1,0,True
1111 1010110 00,3,4.333333333333333,7,2,0.38461538461538464,0.6153846153846154,0.9612366047228759,0,1,0,1,0,0,1,True
010000 11 0,3,3.0,6,1,0.6666666666666666,0.3333333333333333,0.9182958340544896,1,1,0,0,0,1,0,True
11 1 111 0101 01,5,2.4,4,1,0.25,0.75,0.8112781244591328,1,2,1,1,0,0,0,False
1000000 11110,2,6.0,7,5,0.5833333333333334,0.4166666666666667,0.9798687566511528,0,0,0,0,1,0,1,True
10 110 1100,3,3.0,4,2,0.4444444444444444,0.5555555555555556,0.9910760598382222,0,1,1,1,0,0,0,True
10 0 00,3,1.6666666666666667,2,1,0.8,0.2,0.7219280948873623,1,2,0,0,0,0,0,False
10011 1001010 111010 00,4,5.0,7,2,0.5,0.5,1.0,0,1,0,0,1,1,1,True
1111 001 0001 0100011 01100 00,6,4.166666666666667,7,2,0.56,0.44,0.9895875212220556,0,1,1,2,1,0,1,False
011011,1,6.0,6,6,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,0,0,0,1,0,True
00,1,2.0,2,2,1.0,0.0,-0.0,0,1,0,0,0,0,0,True
1001 1 11000,3,3.3333333333333335,5,1,0.5,0.5,1.0,1,0,0,1,1,0,0,True
0100,1,4.0,4,4,0.75,0.25,0.8112781244591328,0,0,0,1,0,0,0,True
10 1 11111,3,2.6666666666666665,5,1,0.125,0.875,0.5435644431995964,1,1,0,0,1,0,0,False
1000101 0111110 1000 0111010 0100 0000,6,5.5,7,4,0.5757575757575758,0.42424242424242425,0.9833761901392235,0,0,0,3,0,0,3,True
1001 000011,2,5.0,6,4,0.6,0.4,0.9709505944546686,0,0,0,1,0,1,0,True
10000,1,5.0,5,5,0.8,0.2,0.7219280948873623,0,0,0,0,1,0,0,True
1 0 111 1010 00,5,2.2,4,1,0.45454545454545453,0.5454545454545454,0.9940302114769565,2,1,1,1,0,0,0,False
001 0 01000 101111 0111000,5,4.4,7,1,0.5454545454545454,0.45454545454545453,0.9940302114769565,1,0,1,0,1,1,1,False
10 0 00,3,1.6666666666666667,2,1,0.8,0.2,0.7219280948873623,1,2,0,0,0,0,0,False
1 0000010 01 000010 00,5,3.6,7,1,0.7777777777777778,0.2222222222222222,0.7642045065086203,1,2,0,0,0,1,1,False
0011 011 0010111,3,4.666666666666667,7,3,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,0,1,1,0,0,1,True
0100 00100 101,3,4.0,5,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,1,1,0,0,True
000011,1,6.0,6,6,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,0,0,0,1,0,True
001001 0101101 0,3,4.666666666666667,7,1,0.5714285714285714,0.42857142857142855,0.9852281360342515,1,0,0,0,0,1,1,True
1101 000 11100 01 0,5,3.0,5,1,0.5333333333333333,0.4666666666666667,0.9967916319816366,1,1,1,1,1,0,0,False
10,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
101101 0110,2,5.0,6,4,0.4,0.6,0.9709505944546686,0,0,0,1,0,1,0,True
11001,1,5.0,5,5,0.4,0.6,0.9709505944546686,0,0,0,0,1,0,0,True
0111111 10 0111000,3,5.333333333333333,7,2,0.375,0.625,0.954434002924965,0,1,0,0,0,0,2,True
1101,1,4.0,4,4,0.25,0.75,0.8112781244591328,0,0,0,1,0,0,0,True
01 1 01111,3,2.6666666666666665,5,1,0.25,0.75,0.8112781244591328,1,1,0,0,1,0,0,False
11 000 100111,3,3.6666666666666665,6,2,0.45454545454545453,0.5454545454545454,0.9940302114769565,0,1,1,0,0,1,0,True
100010 101101 11000 0100001,4,6.0,7,5,0.5833333333333334,0.4166666666666667,0.9798687566511528,0,0,0,0,1,2,1,True
0110 1010110 0011010 010100 110,5,5.4,7,3,0.5185185185185185,0.48148148148148145,0.9990102708804813,0,0,1,1,0,1,2,True
1001 01 10 011100,4,3.5,6,2,0.5,0.5,1.0,0,2,0,1,0,1,0,False
11101 01 11100,3,4.0,5,2,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,1,0,0,2,0,0,True
11,1,2.0,2,2,0.0,1.0,-0.0,0,1,0,0,0,0,0,True
111000 101100 1 100101,4,4.75,6,1,0.47368421052631576,0.5263157894736842,0.9980008838722996,1,0,0,0,0,3,0,True
11 1 100011 10101 111000,5,4.0,6,1,0.4,0.6,0.9709505944546686,1,1,0,0,1,2,0,False
110101 01 000 100,4,3.5,6,2,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,1,2,0,0,1,0,True
10,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
001 10110 1001 11101 0,5,3.6,5,1,0.4444444444444444,0.5555555555555556,0.9910760598382222,1,0,1,1,2,0,0,False
01000,1,5.0,5,5,0.8,0.2,0.7219280948873623,0,0,0,0,1,0,0,True
001 1000110 1110111 0111001 1110 0,6,4.833333333333333,7,1,0.41379310344827586,0.5862068965517241,0.9784493292686189,1,0,1,1,0,0,3,False
0,1,1.0,1,1,1.0,0.0,-0.0,1,0,0,0,0,0,0,True
10 0010,2,3.0,4,2,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,1,0,1,0,0,0,True
1011000 110 010,3,4.333333333333333,7,3,0.5384615384615384,0.46153846153846156,0.9957274520849255,0,0,2,0,0,0,1,True
10 1010000 000 011100 0100,5,4.4,7,2,0.6818181818181818,0.3181818181818182,0.9023932827949788,0,1,1,1,0,1,1,False
1 10100 1011111,3,4.333333333333333,7,1,0.3076923076923077,0.6923076923076923,0.8904916402194913,1,0,0,0,1,0,1,True
0100 10110,2,4.5,5,4,0.5555555555555556,0.4444444444444444,0.9910760598382222,0,0,0,1,1,0,0,True
011101 01100 101 000 110 001101 0,7,3.857142857142857,6,1,0.5185185185185185,0.48148148148148145,0.9990102708804813,1,0,3,0,1,2,0,False
11010 0 001010 10001,4,4.25,6,1,0.5882352941176471,0.4117647058823529,0.9774178175281716,1,0,0,0,2,1,0,True
000,1,3.0,3,3,1.0,0.0,-0.0,0,0,1,0,0,0,0,True
001101 1100,2,5.0,6,4,0.5,0.5,1.0,0,0,0,1,0,1,0,True
1101 0001011 101 11011,4,4.75,7,3,0.3684210526315789,0.631578947368421,0.9494520153879484,0,0,1,1,1,0,1,False
0011,1,4.0,4,4,0.5,0.5,1.0,0,0,0,1,0,0,0,True
0111,1,4.0,4,4,0.25,0.75,0.8112781244591328,0,0,0,1,0,0,0,True
1 110,2,2.0,3,1,0.25,0.75,0.8112781244591328,1,0,1,0,0,0,0,True
10 10011 000011 1101110 0,5,4.2,7,1,0.47619047619047616,0.5238095238095238,0.998363672593813,1,1,0,0,1,1,1,True
1101,1,4.0,4,4,0.25,0.75,0.8112781244591328,0,0,0,1,0,0,0,True
001 110000 100 11101 0,5,3.6,6,1,0.5555555555555556,0.4444444444444444,0.9910760598382222,1,0,2,0,1,1,0,False
00 0,2,1.5,2,1,1.0,0.0,-0.0,1,1,0,0,0,0,0,False
00000 0010100,2,6.0,7,5,0.8333333333333334,0.16666666666666666,0.6500224216483541,0,0,0,0,1,0,1,True
11 1 110 00101,4,2.75,5,1,0.36363636363636365,0.6363636363636364,0.9456603046006401,1,1,1,0,1,0,0,False
1111 0101111,2,5.5,7,4,0.18181818181818182,0.8181818181818182,0.6840384356390417,0,0,0,1,0,0,1,True
001101,1,6.0,6,6,0.5,0.5,1.0,0,0,0,0,0,1,0,True
00,1,2.0,2,2,1.0,0.0,-0.0,0,1,0,0,0,0,0,True
100 0,2,2.0,3,1,0.75,0.25,0.8112781244591328,1,0,1,0,0,0,0,True
1 01010 011 01 00,5,2.6,5,1,0.5384615384615384,0.46153846153846156,0.9957274520849255,1,2,1,0,1,0,0,False
0100 0101110,2,5.5,7,4,0.5454545454545454,0.45454545454545453,0.9940302114769565,0,0,0,1,0,0,1,True
1011 10010,2,4.5,5,4,0.4444444444444444,0.5555555555555556,0.9910760598382222,0,0,0,1,1,0,0,True
101 00 011 011111 0011 0,6,3.1666666666666665,6,1,0.42105263157894735,0.5789473684210527,0.9819407868640977,1,1,2,1,0,1,0,False
1 11110 00001 0100001 0110010 0010,6,4.833333333333333,7,1,0.5862068965517241,0.41379310344827586,0.9784493292686189,1,0,0,1,2,0,2,False
11110 10 010,3,3.3333333333333335,5,2,0.4,0.6,0.9709505944546686,0,1,1,0,1,0,0,True
0100110 10 1 101110 0,5,3.4,7,1,0.47058823529411764,0.5294117647058824,0.9975025463691153,2,1,0,0,0,1,1,False
1 00000 1110110 1000000 01100 0,6,4.333333333333333,7,1,0.6538461538461539,0.34615384615384615,0.9305861291319928,2,0,0,0,2,0,2,False
1111000 1 0,3,3.0,7,1,0.4444444444444444,0.5555555555555556,0.9910760598382222,2,0,0,0,0,0,1,False
11,1,2.0,2,2,0.0,1.0,-0.0,0,1,0,0,0,0,0,True
0101111,1,7.0,7,7,0.2857142857142857,0.7142857142857143,0.863120568566631,0,0,0,0,0,0,1,True
01110 11001,2,5.0,5,5,0.4,0.6,0.9709505944546686,0,0,0,0,2,0,0,True
1000 110000 100100,3,5.333333333333333,6,4,0.6875,0.3125,0.8960382325345574,0,0,0,1,0,2,0,True
11 00 000111 010011 0,5,3.4,6,1,0.5294117647058824,0.47058823529411764,0.9975025463691153,1,2,0,0,0,2,0,False
11,1,2.0,2,2,0.0,1.0,-0.0,0,1,0,0,0,0,0,True
01001 01010 0,3,3.6666666666666665,5,1,0.6363636363636364,0.36363636363636365,0.9456603046006401,1,0,0,0,2,0,0,True
100001,1,6.0,6,6,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,0,0,0,1,0,True
0110010 1 0011100 11100,4,5.0,7,1,0.5,0.5,1.0,1,0,0,0,1,0,2,False
000100 1000,2,5.0,6,4,0.8,0.2,0.7219280948873623,0,0,0,1,0,1,0,True
1111 000 0011,3,3.6666666666666665,4,3,0.45454545454545453,0.5454545454545454,0.9940302114769565,0,0,1,2,0,0,0,True
001100 0011,2,5.0,6,4,0.6,0.4,0.9709505944546686,0,0,0,1,0,1,0,True
11 0 011100 0000101 110010 001011,6,4.666666666666667,7,1,0.5357142857142857,0.4642857142857143,0.996316519558962,1,1,0,0,0,3,1,False
0,1,1.0,1,1,1.0,0.0,-0.0,1,0,0,0,0,0,0,True
0101,1,4.0,4,4,0.5,0.5,1.0,0,0,0,1,0,0,0,True
010 0,2,2.0,3,1,0.75,0.25,0.8112781244591328,1,0,1,0,0,0,0,True
0110010 11110 011110 00,4,5.0,7,2,0.45,0.55,0.9927744539878083,0,1,0,0,1,1,1,True
0111 110100 0,3,3.6666666666666665,6,1,0.45454545454545453,0.5454545454545454,0.9940302114769565,1,0,0,1,0,1,0,True
10 1 1000100 001001 11111,5,4.2,7,1,0.47619047619047616,0.5238095238095238,0.998363672593813,1,1,0,0,1,1,1,False
1 11111,2,3.0,5,1,0.0,1.0,-0.0,1,0,0,0,1,0,0,False
0100,1,4.0,4,4,0.75,0.25,0.8112781244591328,0,0,0,1,0,0,0,True
1011011,1,7.0,7,7,0.2857142857142857,0.7142857142857143,0.863120568566631,0,0,0,0,0,0,1,True
001100 1110111,2,6.5,7,6,0.38461538461538464,0.6153846153846154,0.9612366047228759,0,0,0,0,0,1,1,True
0011011,1,7.0,7,7,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,0,0,0,0,0,1,True
0001,1,4.0,4,4,0.75,0.25,0.8112781244591328,0,0,0,1,0,0,0,True
1 000110 0101100 1110,4,4.5,7,1,0.5,0.5,1.0,1,0,0,1,0,1,1,True
1011100 1,2,4.0,7,1,0.375,0.625,0.954434002924965,1,0,0,0,0,0,1,True
000100 01101,2,5.5,6,5,0.6363636363636364,0.36363636363636365,0.9456603046006401,0,0,0,0,1,1,0,True
111111 1010010,2,6.5,7,6,0.3076923076923077,0.6923076923076923,0.8904916402194913,0,0,0,0,0,1,1,True
1101 11000 111 1010110 0,5,4.0,7,1,0.4,0.6,0.9709505944546686,1,0,1,1,1,0,1,True
110,1,3.0,3,3,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,1,0,0,0,0,True
1111 10 001 1 100111 01011 111000,7,3.857142857142857,6,1,0.37037037037037035,0.6296296296296297,0.9509560484549725,1,1,1,1,1,2,0,False
111110,1,6.0,6,6,0.16666666666666666,0.8333333333333334,0.6500224216483541,0,0,0,0,0,1,0,True
110110 1 000 100 00,5,3.0,6,1,0.6,0.4,0.9709505944546686,1,1,2,0,0,1,0,False
10 01111 101 0,4,2.75,5,1,0.36363636363636365,0.6363636363636364,0.9456603046006401,1,1,1,0,1,0,0,False
1001101,1,7.0,7,7,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,0,0,0,0,0,1,True
010 0111 10 11,4,2.75,4,2,0.36363636363636365,0.6363636363636364,0.9456603046006401,0,2,1,1,0,0,0,True
0110 0 1101101,3,4.0,7,1,0.4166666666666667,0.5833333333333334,0.9798687566511528,1,0,0,1,0,0,1,True
100,1,3.0,3,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,0,0,0,0,True
110110 10 000 101111 00,5,3.8,6,2,0.47368421052631576,0.5263157894736842,0.9980008838722996,0,2,1,0,0,2,0,False
11101 10 00101 100,4,3.75,5,2,0.4666666666666667,0.5333333333333333,0.9967916319816366,0,1,1,0,2,0,0,True
010,1,3.0,3,3,0.6666666666666666,0.3333333333333333,0.9182958340544896,0,0,1,0,0,0,0,True
1 111001 0110 111101 1100,5,4.2,6,1,0.3333333333333333,0.6666666666666666,0.9182958340544896,1,0,0,2,0,2,0,False
10101 1 01111 0000,4,3.75,5,1,0.4666666666666667,0.5333333333333333,0.9967916319816366,1,0,0,1,2,0,0,True
1010 0101110,2,5.5,7,4,0.45454545454545453,0.5454545454545454,0.9940302114769565,0,0,0,1,0,0,1,True
1 110101 01000 11001 11111,5,4.4,6,1,0.36363636363636365,0.6363636363636364,0.9456603046006401,1,0,0,0,3,1,0,False
0010,1,4.0,4,4,0.75,0.25,0.8112781244591328,0,0,0,1,0,0,0,True
10 1 11000 0010000 10100,5,4.0,7,1,0.65,0.35,0.934068055375491,1,1,0,0,2,0,1,True
01 00011 0000,3,3.6666666666666665,5,2,0.7272727272727273,0.2727272727272727,0.8453509366224364,0,1,0,1,1,0,0,True
1 0111100 1100 0,4,3.25,7,1,0.46153846153846156,0.5384615384615384,0.9957274520849255,2,0,0,1,0,0,1,False
00,1,2.0,2,2,1.0,0.0,-0.0,0,1,0,0,0,0,0,True
000 00,2,2.5,3,2,1.0,0.0,-0.0,0,1,1,0,0,0,0,False
10 11 101 00011 1000 01,6,3.0,5,2,0.5,0.5,1.0,0,3,1,1,1,0,0,False
0000,1,4.0,4,4,1.0,0.0,-0.0,0,0,0,1,0,0,0,True
1101 1,2,2.5,4,1,0.2,0.8,0.7219280948873623,1,0,0,1,0,0,0,True
110101 011 01111 000010 0,5,4.2,6,1,0.47619047619047616,0.5238095238095238,0.998363672593813,1,0,1,0,1,2,0,True
111100 1100,2,5.0,6,4,0.4,0.6,0.9709505944546686,0,0,0,1,0,1,0,True
001111 1 000 0000 00,5,3.2,6,1,0.6875,0.3125,0.8960382325345574,1,1,1,1,0,1,0,False
1011 001111,2,5.0,6,4,0.3,0.7,0.8812908992306927,0,0,0,1,0,1,0,True
10 0100 0011 11011 00,5,3.4,5,2,0.5294117647058824,0.47058823529411764,0.9975025463691153,0,2,0,2,1,0,0,True
1111 0100101 011 0011 111000 01,6,4.333333333333333,7,2,0.4230769230769231,0.5769230769230769,0.9828586897127056,0,1,1,2,0,1,1,True
110,1,3.0,3,3,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,1,0,0,0,0,True
11 1 11111 10011 010011 0,6,3.3333333333333335,6,1,0.3,0.7,0.8812908992306927,2,1,0,0,2,1,0,False
10010 00011,2,5.0,5,5,0.6,0.4,0.9709505944546686,0,0,0,0,2,0,0,True
010000 1 100101 0,4,3.5,6,1,0.6428571428571429,0.35714285714285715,0.9402859586706311,2,0,0,0,0,2,0,False
11,1,2.0,2,2,0.0,1.0,-0.0,0,1,0,0,0,0,0,True
0001 1001001 01011,3,5.333333333333333,7,4,0.5625,0.4375,0.9886994082884974,0,0,0,1,1,0,1,True
00110 010000 1110,3,5.0,6,4,0.6,0.4,0.9709505944546686,0,0,0,1,1,1,0,True
001 1 01 0,4,1.75,3,1,0.5714285714285714,0.42857142857142855,0.9852281360342515,2,1,1,0,0,0,0,False
1011 10,2,3.0,4,2,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,1,0,1,0,0,0,True
111 0111111 11000 1011110,4,5.5,7,3,0.2727272727272727,0.7272727272727273,0.8453509366224364,0,0,1,0,1,0,2,True
0001101 101 1111101 1010 0,5,4.4,7,1,0.4090909090909091,0.5909090909090909,0.9760206482366149,1,0,1,1,0,0,2,False
1110000 10000 0,3,4.333333333333333,7,1,0.6923076923076923,0.3076923076923077,0.8904916402194913,1,0,0,0,1,0,1,True
10 1 0010000 1010 01,5,3.2,7,1,0.625,0.375,0.954434002924965,1,2,0,1,0,0,1,False
1000111 0101 11001 000101,4,5.5,7,4,0.5,0.5,1.0,0,0,0,1,1,1,1,True
1,1,1.0,1,1,0.0,1.0,-0.0,1,0,0,0,0,0,0,True
110110 011010 101 0001100 1100 011110,6,5.333333333333333,7,3,0.46875,0.53125,0.9971803988942642,0,0,1,1,0,3,1,True
0000110 10 01111 01000 11111,5,4.8,7,2,0.4583333333333333,0.5416666666666666,0.9949848281859701,0,1,0,0,3,0,1,True
1 0101,2,2.5,4,1,0.4,0.6,0.9709505944546686,1,0,0,1,0,0,0,True
0001 010000 0011 010 011110,5,4.6,6,3,0.6086956521739131,0.391304347826087,0.9656361333706098,0,0,1,2,0,2,0,True
11 1 0,3,1.3333333333333333,2,1,0.25,0.75,0.8112781244591328,2,1,0,0,0,0,0,False
011,1,3.0,3,3,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,1,0,0,0,0,True
01 00,2,2.0,2,2,0.75,0.25,0.8112781244591328,0,2,0,0,0,0,0,True
001 100011 101 100111 11100,5,4.6,6,3,0.43478260869565216,0.5652173913043478,0.9876925088958034,0,0,2,0,1,2,0,True
1001 1000001 0,3,4.0,7,1,0.6666666666666666,0.3333333333333333,0.9182958340544896,1,0,0,1,0,0,1,True
001 000111 00,3,3.6666666666666665,6,2,0.6363636363636364,0.36363636363636365,0.9456603046006401,0,1,1,0,0,1,0,True
0110 11 1,3,2.3333333333333335,4,1,0.2857142857142857,0.7142857142857143,0.863120568566631,1,1,0,1,0,0,0,False
01,1,2.0,2,2,0.5,0.5,1.0,0,1,0,0,0,0,0,True
011101 0010011 111111 1101,4,5.75,7,4,0.30434782608695654,0.6956521739130435,0.8865408928220899,0,0,0,1,0,2,1,True
1111 0110100 011 111 01111 11011 00,7,4.142857142857143,7,2,0.3103448275862069,0.6896551724137931,0.8935711016541907,0,1,2,1,2,0,1,False
101001 1111110 000 0,4,4.25,7,1,0.47058823529411764,0.5294117647058824,0.9975025463691153,1,0,1,0,0,1,1,False
11110,1,5.0,5,5,0.2,0.8,0.7219280948873623,0,0,0,0,1,0,0,True
1,1,1.0,1,1,0.0,1.0,-0.0,1,0,0,0,0,0,0,True
0000100 00100 010010 1100,4,5.5,7,4,0.7272727272727273,0.2727272727272727,0.8453509366224364,0,0,0,1,1,1,1,True
11010 0111 10100,3,4.666666666666667,5,4,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,0,0,1,2,0,0,True
011010 0 011011 01000,4,4.5,6,1,0.5555555555555556,0.4444444444444444,0.9910760598382222,1,0,0,0,1,2,0,True
1101010,1,7.0,7,7,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,0,0,0,0,0,1,True
010010 0001100,2,6.5,7,6,0.6923076923076923,0.3076923076923077,0.8904916402194913,0,0,0,0,0,1,1,True
0,1,1.0,1,1,1.0,0.0,-0.0,1,0,0,0,0,0,0,True
10 11000,2,3.5,5,2,0.5714285714285714,0.42857142857142855,0.9852281360342515,0,1,0,0,1,0,0,True
001110 0000001,2,6.5,7,6,0.6923076923076923,0.3076923076923077,0.8904916402194913,0,0,0,0,0,1,1,True
1 0100000 001010,3,4.666666666666667,7,1,0.7142857142857143,0.2857142857142857,0.863120568566631,1,0,0,0,0,1,1,True
0110011 100111 1101001 010 01,5,5.0,7,2,0.44,0.56,0.9895875212220556,0,1,1,0,0,1,2,False
0110010 01111 1100,3,5.333333333333333,7,4,0.4375,0.5625,0.9886994082884974,0,0,0,1,1,0,1,True
0001000 0 000 1010,4,3.75,7,1,0.8,0.2,0.7219280948873623,1,0,1,1,0,0,1,False
11 01010,2,3.5,5,2,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,1,0,0,1,0,0,True
0011110,1,7.0,7,7,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,0,0,0,0,0,1,True
1,1,1.0,1,1,0.0,1.0,-0.0,1,0,0,0,0,0,0,True
11 00011 0111 011011 0010,5,4.2,6,2,0.42857142857142855,0.5714285714285714,0.9852281360342515,0,1,0,2,1,1,0,True
1110 0001010 1111100 01 11001 0,6,4.333333333333333,7,1,0.46153846153846156,0.5384615384615384,0.9957274520849255,1,1,0,1,1,0,2,False
1001 11,2,3.0,4,2,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,1,0,1,0,0,0,True
0000111 00000 1000 0,4,4.25,7,1,0.7647058823529411,0.23529411764705882,0.7871265862012691,1,0,0,1,1,0,1,False
101101,1,6.0,6,6,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,0,0,0,1,0,True
01001 10000 1001 01011 0011,5,4.6,5,4,0.5652173913043478,0.43478260869565216,0.9876925088958034,0,0,0,2,3,0,0,True
111100 110101,2,6.0,6,6,0.3333333333333333,0.6666666666666666,0.9182958340544896,0,0,0,0,0,2,0,True
1101 1 0110000 0011101 0,5,4.0,7,1,0.5,0.5,1.0,2,0,0,1,0,0,2,False
10000,1,5.0,5,5,0.8,0.2,0.7219280948873623,0,0,0,0,1,0,0,True
